name,type,id,arg0,arg1,retval0,retval1
nand,std,0,s0_64,s0_64,s0_64,
not,std,1,s0_64,,s0_64,
and,std,2,s0_64,s0_64,s0_64,
or,std,3,s0_64,s0_64,s0_64,
xor,std,4,s0_64,s0_64,s0_64,
add,std,5,s0_64,s0_64,s0_64,
sub,std,6,s0_64,s0_64,s0_64,
dup64s0,std,7,s0_64,,s0_64,s0_64
dup128s0,std,8,s0_128,,s0_128,s0_128
isp,std,9,s0_64,,s0_8,
isn,std,10,s0_64,,s0_8,
clr0,std,11,,,r0_64,
pop64s0,std,12,s0_64,,r0_64,
pop64s1,std,13,s1_64,,r1_64,
pop64s2,std,14,s2_64,,r2_64,
push64r2tos0,std,15,r2_64,,s0_64,
push64s1,std,16,r1_64,,s1_64,
push64s2,std,17,r2_64,,s2_64,
